tool_id,include,reason_exclude,missing_dimension,reviewer_name,tool_name,acronym,rayyan_ref,web_ref,author,developer,year_published,updated,year_updated,updated_ref,promoted_tool,specify_indicators,wider_use,wider_use_evidence,wider_use_notes,adapted,adapted_ref,sustain_framing,dimensions,themes,theme_no,social_themes,enviro_themes,economic_themes,human_themes,gov_themes,product_themes,named_framework,Conceptual_framing,framing_definition,sgd,framing_indicator_link,Indicator_convenience,sustainability_view,tool_orientiation,stakeholder_design,scale_measure,scale_report,localisable,country_use,system_type,visualise_framework,target_user,intended_function,comparison_type,verifiable,local_indicators,stakeholder_involved,indicator_selection,data_type,data_collection,complexity,access,paid_access,online_platform,guide_assess,guide_analysis,guide_interpret,guide_data_gov,informed_consent,visualise_result,visualise_type,assessment_results,metric_no,collection_time,interval,interaction,interaction_expl,scaleable,aggregation,weighting,weighting_preference,comments,once_multi,metric_eval
NA,No,Not holistic,social,Mary,"Rostami et al., 2018",NA,363932914,https://www.researchgate.net/publication/346955395_An_Assessment_of_the_Sustainability_of_Agricultural_Systems_in_Golestan_Province_Iran,"Rostami et al., 2018",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,No,Not an assessment,NA,Mary,"Vroegindewey et al., 2018",NA,363932939,https://www.mdpi.com/2071-1050/10/4/916,"Vroegindewey et al., 2018",NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,Yes,NA,NA,Mary,Household Adaptive Capacity Index,HACI,363932941,https://ovcre.uplb.edu.ph/journals-uplb/index.php/JESAM/article/view/101,"Colting-Pulumbarit et al., 2018",NA,2018,No,NA,NA,No,Yes,No,NA,NA,No,NA,livelihood orientated view,natural capital; physical capital; finacial capital; human capital; social capital,NA,NA,NA,NA,NA,NA,NA,NA,Sustainable livelihoods approach; adaptive capacity; climate change adaptation; organic agriculture,Sustainable livelihoods approach; adaptive capacity; climate change adaptation; organic agriculture,"Adaptive capacity is defined as the ability of systems, institutions, humans and other organisms to adjust to potential damage, to take advantage of opportunities, or to respond to consequences (IPCC 2014b). Increasing adaptive capacity improves resilience and flexibility of systems in adapting autonomously to climate change (FAO 2015, FAO 2012, IPCC 2014a)",2; 6; 1; 15; 13; 16; 8; 4,Yes,No,Both,researcher/developer only,NA,farm/household,farm/household; landscape,Widely applicable,Philippines,large/commecial farms,No,researchers,ST; R,Between cases,No,No,No,literature; researcher selected,Quantitative (enumerator/farmer estimated); Qualitative (enumerator/farmer selected); Qualitative (textual/narrative),household/farm survey; interview; focus group,High,No restriction,No,No,No,No,No,No,Unknown,Yes,Radar; tables,composite index; scoring system,23,medium,Years,No,NA,Yes,Yes,Yes,"The procedure for HACI construction followed the works of Nelson et al. (2010) and Deressa et al. (2008). The indicators and sub-indices were normalized using the Min-Max Approach applied for the Human Development Index of the United Nations Development Programme (UNDP). This was done to transform the values from zero to one to be comparable. Adaptive capacity was assumed to be a function of the sub-indices and indicators identified under the SLF.Weights were assigned to the sub-indices and indicators using Principal Components Analysis (PCA). PCA addresses concerns on the arbitrary use of numeric equality in equal weighting and the subjectivity of assigning weights through expert judgement. The loadings for each run of PCA (principal component) describe the contribution or relative importance (taken as weights) of each indicator to the sub-index and each sub-index to the HACI. Only the first principal components (loadings of the first run of PCA) were used since this explained majority of the variation in the data set. First, PCA was run for the indicators under each sub-index to determine the relative importance (weights) of each indicator. The normalized indicator values were multiplied by the generated weights to calculate the sub-indices. Second-step PCA was then run to generate the weights of the five sub-indices in relation to the HACI. The normalized sub-indices were multiplied by the weights. Finally, HACI was calculated by adding the values of the five sub-indices. In this approach, a higher HACI indicates higher adaptive capacity of the farming household. While the HACI is not an absolute measurement of adaptive capacity, it allows comparability among the households included in the study. PCA was run at the Institute of Statistics of the University of the Philippines Los Banos using the SAS 9.1 software.",NA,Once,Complete
145,Yes,NA,NA,Mary,Problem-oriented Status-Driver Composite Indicator-base Framework of Agricultural Sustainability Assessment,PSDCIFASA,363932965,https://www.mdpi.com/2071-1050/10/12/4823,"Fallah-Alipour et al., 2018",NA,2018,No,NA,NA,No,Yes,No,NA,NA,No,NA,Classical view,Social; economic; environment,income; employment conditions; efficiency of production; access to knowledge and infomation; water resources; soils; biodiversity,9,employment conditions; access to knowledge and infomation,water resources; soils; biodiversity,income; efficiency of production,NA,NA,NA,agricultrual sustainability,agricultrual sustainability,"a sustainable agriculutral system is characterised by protecting the enviornment, improving the appropriate agricultural production processes and enchancing the welfare of humans (the farmer and society) over time",1; 2; 4; 8; 6; 15; 16,Yes,Yes,Both,researcher/developer only,NA,Regional; national,Regional; national,context-specific,Iran,both,No,Policy makers; researchers,PA; R,Between cases,Yes,No,No,literature; researcher selected,Quantitative (enumerator/farmer estimated); Qualitative (enumerator/farmer selected); Quantitative (measured),Database,High,No restriction,No,No,No,No,No,No,Unknown,Yes,Plots; maps/heat maps; radar; tables,composite index; scoring system,9,low - uses existing datasets,decades,Yes,they plot the drivers and staus indexes on same plot,No,Yes,Yes,"quite detailed description in article : Fuzzy Pairwise Comparisons (FPC) and Analytic Hierarchy Process (AHP) have been used in the present study to introduce social preferences into the model and analysis for assigning different weights to indicators, as a function of the views of external decision makers (the groups mentioned above in Step 3).","has a slightly more complex dimension/theme structure based on drivers, goals and problems",Once,Complete
146,Yes,NA,NA,Mary,"Chaudhary et al., 2018",NA,363932978,https://www.nature.com/articles/s41467-018-03308-7; https://www.mdpi.com/2071-1050/8/3/196,"Chaudhary et al., 2018",NA,2018,No,NA,NA,No,Yes,No,NA,NA,No,NA,Classical view,"nutrition; environment; economic, social; resilience",Food Nutrient adequancy; ecosystem stability; affordability and availability; sociocultural wellbeing; resilience; food safety; waste and loss reduction,7,sociocultural wellbeing; resilience,waste and loss reduction; ecosystem stability,affordability and availability; sociocultural,Food Nutrient adequancy; food safety,NA,NA,Sustainable development goals; sustainable nutrition security,Sustainable development goals; sustainable nutrition security,"sustainable nutrition security by Gustafson et al., 2016",2; 3; 15; 13; 6; 7; 1; 8; 10; 5,Yes,No,Performance-based,consultation/feedback,private sector; researchers/experts; government agencies,National,National; global,Widely applicable,Global,NA,Yes,Policy makers; researchers,PA; R,Between cases,Yes,No,No,literature; participatory,Quantitative (measured); quantitative (enumerator/farmer estimated),Database,High,No restriction,No,No,No,No,No,No,Unknown,Yes,Maps/heat maps; radar; tables,composite index; scoring system,26,low - uses existing datasets,decades,No,NA,Yes,Yes,No,all transposed onto a 0-100 scale,NA,Once,
147,Yes,NA,NA,Mary,"Jacobi et al., 2018",NA,363932999,https://www.sciencedirect.com/science/article/abs/pii/S0264837718301789,"Jacobi et al., 2018",NA,2018,No,NA,NA,No,Yes,No,NA,NA,No,NA,livelihood orientated view,Natural capital; physical capital; finacial capital; human capital; social capital; Appropriately connected; Ecologically self-regulated; Interest groups; Local consumption of production; Decentralization and independence; Diversity of crops and breeds; Knowledge of threats and opportunities; Reflective and shared learning; Functioning feedback mechanisms; Existence and use of localtraditional knowledge; Shared vision,Natural capital; physical capital; finacial capital; human capital; social capital; Appropriately connected; Ecologically self-regulated; Interest groups; Local consumption of production; Decentralization and independence; Diversity of crops and breeds; Knowledge of threats and opportunities; Reflective and shared learning; Functioning feedback mechanisms; Existence and use of localtraditional knowledge; Shared vision,16,social capital; Interest groups; Decentralization and independence; Knowledge of threats and opportunities; Reflective and shared learning; Functioning feedback mechanisms; Existence and use of local-traditional knowledge; Shared vision,Natural capital; Ecologically self-regulated; Diversity of crops and breeds,physical capital; finacial capital; Decentralization and independence,Local consumption of production; human capital,NA,NA,Food system resilience; food system sustainability,Food system resilience; food system sustainability,"Rist et al. (2016) developed an operational concept of food sustainability. It classifies food systems as sustainable if they are able to strike a positive balance between five fundamental aspects: (1) the capacity to ensure food security; (2) to fulfil people’s right to food; (3) to reduce poverty and inequality; (4) to exhibit a high environmental performance; and (5) to exhibit high levels of social-ecological resilience. Resilience refers not only to the capacity to absorb stress and shocks as a system, but also to the capacity for self-organization and learning among system actors. In this way, resilience is a dynamic concept (Ericksen et al., 2010), accounting for fast and slow changes that must be addressed at multiple interaction scales (Anderies et al., 2006). Overall, resilience may be considered a system property that plays a critical role in the sustainability of food systems.",15; 6; 8; 4; 3; 1; 7; 12; 2,Yes,No,Practice-based,consultation/feedback,NGO; researchers,food system,food system,adaptable; widely applicable,Kenya; Bolivia,smallholder,No,Researchers,ST; R,Between cases,No,No,No,literature; participatory,Qualitative (textual/narrative),Interviews; survey; expert opinion,Low,No restriction,No,No,No,No,No,No,Unknown,Yes,Radar,scoring system,35,high,years; decades,No,NA,No,Yes,No,NA,NA,Once,Complete
148,Yes,NA,NA,Mary,"Chen et al., 2018",NA,363933029,https://www.sciencedirect.com/science/article/abs/pii/S0959652617325684,"Chen et al., 2018",NA,2018,No,NA,NA,No,Yes,No,NA,NA,No,NA,Classical view,Social; economic; environment,NA,NA,NA,NA,NA,NA,NA,NA,"Life cycle sustainability assessment (LCSA); environmental-LCA (ELCA), life cycle costing (LCC); social-LCA (SLCA)","Life cycle sustainability assessment (LCSA); environmental-LCA (ELCA), life cycle costing (LCC); social-LCA (SLCA)","Sustainable production is dependent on the performance of environmental, social, and economic aspects of the system (Von Keyserlingk et al., 2013).",13; 6; 12; 3; 8; 10; 1; 15; 14; 4,No,No,Performance-based,researcher/developer only,NA,Farm/household,Farm/household,context-specific,Ireland,large/commecial farms; dairy farms,Yes,Researchers,ST; R,Between cases; change over time,Unknown,No,No,Researcher selected,Quantitative (measured); quantitative (enumerator/farmer estimated); Qualitative (enumerator/farmer selected),household/farm survey; database,High,No restriction,No,No,No,No,No,No,Unknown,Yes,Radar; tables,comparison beterrn cases/benchmark values,27,low - uses existing datasets,Years,No,NA,Yes,No,No,"For transparency, each impact indicator of environmental, economic, and social aspect was reported separately, but to assess the overall sustainability a multi-criteria decision analysis was used to provide a straight forward result for facilitating decision making (Kagi et al., 2015 € ). Weighting of different indicators is an inevitable process for multi-criteria analysis. The most effective and representative weighting factors should be generated from a stakeholder group survey (Dong and Ng, 2015), however, this is time and resource intensive (Manik et al., 2013). So, for this study, a weighting method was developed that can be used when a weighting survey is not available. Initially, the same weighting factors (0.33) are assumed for environmental, economic, and social dimensions and the indicators in each dimension share the same weighting factor.",NA,Once,Complete
149,Yes,NA,NA,Mary,"Escribano et al., 2018",NA,363933043,https://www.sciencedirect.com/science/article/abs/pii/S0048969718319491,"Escribano et al., 2018",NA,2018,No,NA,NA,No,Yes,No,NA,NA,No,NA,Classical view,Social; economic; environment,NA,NA,NA,NA,NA,NA,NA,NA,Sustainability,Sustainability,"There are also other anthropogenic and environmental factors challenging the survival and sustainability of these valuable ecosystems. Thus, younger farmers taking over these low-profitable systems will need to transform current production models into cost-efficient operations that will work together with the nature, and not against it. To this end they will have to lower input costs, find alternative sources of income, recycle resources, stimulate natural regeneration, improve soil and increase farm productivity so that their land can become economically and environmentally sustainable.",8; 4; 10; 1; 15; 6,No,No,Both,Co-designed from start,Experts; researchers,Farm/household,Farm/household,context-specific,Spain,Dehesa,No,Farmers; researchers; policy makers,ST; R; PA,Between cases; change over time,Unknown,No,No,participatory,Quantitative (measured); quantitative (enumerator/farmer estimated); Qualitative (enumerator/farmer selected),Unknown,Low,No restriction,No,No,No,No,No,No,Unknown,No,NA,composite intex,24,Medium,Years,No,NA,Yes,No,Yes,"Whether or not to weight sustainability indicators and the ways of doing so have been widely discussed in the literature (Bernués et al., 2011), with qualitative techniques such as focus groups been extensively used for this purpose (Escribano et al., 2014; RipollBosch et al., 2012). However, in this research it was decided that the experts' scores could be a better proxy of the importance of the indicator (%). In addition, the successive rounds and the consensus achieved improve the validity of the values obtained.",Just the proposed indicators no actual use,Unknown,Complete
150,Yes,NA,NA,Brian,"Bizikova et al., 2019",NA,363933072,https://www.researchgate.net/publication/329950315_An_Indicator_Set_to_Track_Resilience_to_Climate_Change_in_Agriculture_A_policy-maker's_perspective,"Bizikova et al., 2019",NA,2019,No,NA,NA,No,Yes,Maybe,NA,Cited 12 times,No,NA,Classical view,Economic; Social; Environmental;Productivity,Climate change; Environmental services; Demographics; Rural infrastructure; Farmland production activities; Market/Economy,6,Demographics; Rural infrastructure,Climate change; Environmental services,Market/Economy,NA,NA,Farmland production activities,NA,NA,"This paper defines Resilience as the capacity of a socioecological system to absorb or withstand perturbations and other stressors such that the system remains within the same regime, essentially maintaining its structure and functions",2; 13; 15,No,Yes,Performance based,consultation/feedback,policy-makers; researchers; farmers,Farm/household,Regional,Widely applicable,Canada,Both,Yes,Policy makers,PA,Between cases,Yes,No,Yes,Expert consultation; participatory; Literature,Quantitative (measured); Quantitative (enumerator/farmer estimated); Qualitative (enumerator/farmer selected); Qualitative (textual/narrative),Database; household/farm survey,Medium,No Restrictions,No,No,Yes,Yes,Yes,No,Unknown,No,NA,Comparison between cases,36,Unknown,Unknown,No,NA,No,No,No,NA,NA,Once,Complete
151,Yes,NA,NA,Brian,"Troiano et al., 2019",NA,363933081,https://www.sciencedirect.com/science/article/abs/pii/S1470160X1830774X,"Troiano et al., 2019",NA,2019,No,NA,NA,No,Yes,No,NA,Cited 11 times,NA,NA,Classical view,Economic; social; environmental,NA,NA,NA,NA,NA,NA,NA,NA,Uses own sustainability framework,Uses own sustainability framework,"Agricultural sustainability, measured by economic, social and environmental indicators, is at the base of the farm performances (Dantsis et al., 2010).",1; 2; 4; 6; 7; 8; 12; 15,Yes,Yes,Performance-based,consultation/feedback incorporated,Farmers; multistakeholders (unspecified),Farm/household,Farm/household; Province,adaptable,Italy,Smallholder farms,NA,Farmers; researchers; multistakeholders (unspecified),ST and R,Between cases,Yes,No,Yes,Participatory; literature,"Quantitative (measured), Quantitative (enumerator/farmer estimated)",household/firm survey; self reporting; field measurements,Low,Partners only,Yes,Yes,Yes,Yes,Yes,No,Unknown,Yes,Network diagram; bar graphs,Scoring system; statistics,26,high,Season,No,NA,Yes,Yes,Yes,"In detail, according to preferences collected among multiple stakeholders, weights represented the relative importance of each indicator in each scenario (Collier et al., 2014; Tsang et al., 2014) (Fig. 1). The economic indicators had the highest importance or weighting factor and the environmental indicators had the lowest weighting factors in the economic scenario, while the opposite was true in the ecological scenario. The social indicators maintained the same weighting factors in both scenarios.",NA,NA,
152,No,Review,NA,Brian,"Bene et al., 2019",NA,363933112,https://www.nature.com/articles/s41597-019-0301-5,"Bene et al., 2019",NA,2019,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,Classical view,Economic; Social; Environmental; Food security & nutrition,Air; Water; Soil and land; Biodiversity; Energy; Food Security; Food Safety; Food waste and Use; Nutrition,9,NA,Air; Water; Soil and land; Biodiversity; Energy,NA,NA,NA,Food Security; Food Safety; Food waste and Use; Nutrition,NA,NA,NA,,No,Yes,NA,Researcher/developer only,NA,Global,Global,Widely applicable,Global,Both,Yes,Farmers; Business/firm; agricultural advisors; policy makers; researchers; farmer organizations; development actors; NGOs,MP,Change over time,NA,NA,NA,Literature,NA,Database,Medium,No Restrictions,No,No,NA,NA,NA,NA,NA,Yes,Time series; Scatter plot; Correlation,scoring system,27,NA,NA,Yes,"The availability of data (or lack therefore) results in an unavoidable trade-of between number of indicators and number of countries, and highlights how optimization can be used to present the most robust metric possible given the existence of this trade-ofs in the data space",yes,Yes,NA,NA,This is more of a review of metrics (follows an include exclude criteria),NA,NA
153,No,Not an assessment,NA,Brian,"Lynch et al., 2019",NA,363933133,https://www.sciencedirect.com/science/article/abs/pii/S0301479718310806,"Lynch et al., 2019",NA,2019,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,Yes,NA,NA,Levi,"Allen et al., 2019",NA,363933138,https://www.researchgate.net/publication/323407895_A_Delphi_Approach_to_Develop_Sustainable_Food_System_Metrics,"Allen et al., 2019",NA,2019,No,NA,NA,No,Yes,No,NA,80 citations,No,NA,Systemic view,exposure; sensitivity; resilience,NA,NA,NA,NA,NA,NA,NA,NA,Vulnerability/resiilience framework,Vulnerability/resiilience framework,"Exposure is the nature and degree to which a system is likely to be afected by the occurrence of a change; sensitivity is the degree to which a system is afected either adversely or benefcially, by a change; resilience is the ability of a system to anticipate, absorb, accommodate, or recover from the efefcts of a potentially hazardous event in a timely and efcient manner, through ensuring the preservation, restoration, or improvement of its essential basic structures and functions (IPCC 2012).",2; 6; 12; 14; 15,No,No,performance-based,consultation/feedback incorporated,researchers,food system; national; across scales,food system; national; across scales,widely applicable,"Western Mediterranean European countries (France, Italy, Spain)",both,yes,farmers; business/firm; researchers; development actors,R and PA,change over time,no,no,yes,Expert consultation,Qualitative (textual/narrative),Interview; focus group,high,no restriction,no,no,yes,yes,yes,no,no,yes,bar graph,indicator ranges; statistics,24,high,months,yes,"18 indicators were finally identifed for eight preselected causal models of vulnerability and resilience at the interactions between a set of four drivers of change (water depletion, biodiversity loss, food price volatility, and changes in food consumption patterns) and four food and nutrition security outcomes (nutritional quality of food supply, afordability of food, dietary energy balance, and satisfaction of cultural food preferences). Each interaction was disentangled in exposure, sensitivity and resilience",yes,no,no,NA,The assessment applied the Delphi study that focussed on a list of indicators of sustainable diets and food systems over three iterative rounds. Experts were asked to select indicators from a list to inform a number of criteria.,multiple,
155,Yes,NA,NA,Levi,"Li et al., 2019a",NA,363933175,https://www.mdpi.com/2071-1050/11/19/5313,"Li et al., 2019a",Sichuan University,2019,No,NA,NA,No,Yes,No,NA,7 citations,No,NA,Classical view,economy; society; environment; education; population,NA,NA,NA,NA,NA,NA,NA,NA,uses own framework,uses own framework,"For agricultural development to be sustainable, however, there needs to be a balance between the economy, the environment, and the society.",1; 4; 8; 14; 15,Yes,No,performance-based,researcher/developer only,NA,landscape; national,landscape; national,adaptable,China,both,No,farmers; agricultural advisors; policy makers; development actors,ST; R and PA,change over time,yes,no,no,literature; researcher selected,Quantitative (measured),Database,low,no restriction,no,no,yes,yes,yes,no,no,yes,line graph,statistics,13,high,years,yes,"Sustainable, regional agricultural development has a dissipative structure that involves interactions between the economy, society, environment, education, and population",yes,yes,no,"The theory of information entropy can be used to evaluate the sustainable development of regional agriculture and calculate the specific index information entropy and the annual information entropy. Index information entropy determines the weight of each index, which is then used to assess the changing sustainable regional agricultural development characteristics, with the annual information entropy describing the changing trends.","Assessment operates at a city scale and looks at Chengdu, as the core city in southwest China, which is a developed agricultural city with rich resources",multiple,
156,Yes,NA,NA,Levi,"Ruiz-Almeida et al., 2019",NA,363933176,https://link.springer.com/article/10.1007/s12571-019-00964-5,"Ruiz-Almeida et al., 2019",Polytechnic University of Catalonia; Central University of Catalonia,2019,No,NA,NA,No,Yes,No,NA,30 citations,No,NA,Classical view,social; environmental; political,access to resources; productive models; commercialization; food consumption & right to food; agrarian policies and civil society organization; gender,6,gender; agrarian policies and CSOs,Resources; food security & consumption,commercialization; production models,NA,NA,NA,food sovereignity framework,food sovereignity framework,"The food sovereignty proposal addresses food systems from a holistic perspective that encompasses environmental, social and economic aspects in order to find a political answer that guides the system towards the more general goal of sustainability (McMichael 2011). From this perspective, sustainable agri food systems are defined as systems capable of ensuring the food security of all people by making political efforts to address the root cause of hunger and malnutrition, while at the same time preserving the environment, and putting those people who produce food at the centre of policies.",2; 4; 6; 8; 9; 12; 14; 15,Yes,Yes,both,researcher/developer only,NA,food system,food system; across scales,context-specific,NA,both,yes,farmers; agricultural advisors; policy makers; development actors,ST; R and PA,change over time,maybe,no,no,literature; researcher selected,Quantitative (measured); Qualitative (textual/narrative),Database; expert opinion,medium,no restriction,no,no,yes,yes,yes,no,no,no,NA,statistics,97,high,years,no,NA,yes,no,no,NA,Interesting selection of indicators.,once,
157,Yes,NA,NA,Levi,"Li et al., 2019b",NA,363933181,https://www.mdpi.com/2071-1050/11/7/2004,"Li et al., 2019b",NA,2019,No,NA,NA,No,Yes,No,NA,33 citations,No,NA,Classical view,economy; society; environment; resources; population,NA,NA,NA,NA,NA,NA,NA,NA,uses own framework,uses own framework,"Sustainable agriculture refers to the adoption of a certain way of managing and protecting the natural resource base, as well as technological and institutional reforms, to ensure that the demand for agricultural products for present and future generations can be continuously satisfied.",1; 6; 9; 13,Yes,No,performance-based,researcher/developer only,NA,project/programme; national,project/programme; national,adaptable,Multiple (Belt & Road),both,no,policy makers; researchers; NGOs; development actors,R and PA,change over time,yes,no,no,literature; researcher selected,Quantitative (measured),Database,medium,no restriction,no,no,yes,yes,yes,no,no,no,line graphs; maps,statistics; multidimension index,25,high,years,no,NA,yes,yes,yes,"On this basis, the dynamic weights of secondary indices in this paper in each year are determined by the improved entropy weight method. Overall, the entropy weight method is a mathematical method for calculating an aggregative index on the basis of comprehensively considering the amount of information provided by various factors. Thus, the smaller the information entropy of an index is, the more significant the difference is. Moreover, the lower the degree of information disorder is, the greater the value of information utility is. These mean that the greater the weight of the index is, the more important it is in the comprehensive evaluation and the greater the entropy weight is.",NA,multiple,
158,Yes,NA,NA,Levi,"Bachev et al., 2019",NA,363933189,https://www.agrojournal.org/25/04-01.pdf,"Bachev et al., 2019",Bulgarian Institute of Agricultural Economics,2019,No,NA,NA,No,Yes,No,NA,2 citations,No,NA,Classical view,economic; social; ecological,"Financial stability; economic effectiveness, competitiveness; adaptability to economic environment; welfare of those employed in agriculture; conservation of farming; gender equality; social capital; adaptability to the social environment; air quality; land quality; water quality; effective energy consumption; biodiversity; animal welfare; implementation of organic production; adaptability to the environment",17,welfare of those employed in agriculture; conservation of farming; gender equality; social capital; adaptability to the social environment;,air quality; land quality; water quality; effective energy consumption; biodiversity; animal welfare; implementation of organic production; adaptability to the environment,"Financial stability; economic effectiveness, competitiveness; adaptability to economic environment",NA,NA,NA,uses own framework but adapts from SAFE approach,uses own framework but adapts from SAFE approach,NA,1; 3; 4; 5; 6; 7; 8; 11; 13; 14; 15; 16,Yes,No,performance-based,consultation/feedback incorporated,farmers; businesses,national,national,adaptable,Bulgaria,both,no,farmers; business/firm; researchers,R and PA,change over time,maybe,no,yes,participatory; researcher selected,Qualitative (textual/narrative); Qualitative (enumerator/farmer selected),Interview; focus group,medium,no restriction,no,no,yes,yes,yes,no,no,yes,spider chart; bar graphs,multidimension index; statistics,46,medium,days,no,NA,yes,yes,no,"After than the integral Index for a particular criterion (SI(c)), principle (SI(p)), and aspect of sustainability (SI(a)), and the integral sustainability index (SI(o)) for each farm is calculated as an arithmetic average applying equal weight for every indicator in a particular criterion, of each criterion in a particular principle, and eachprinciple in every aspect of sustainability. The composite sustainability index of a particular agri-ecosystem is an arithmetic average of the indices of relevant farms belonging to that agro ecosystem.",NA,multiple,
159,Yes,NA,NA,Levi,"Du et al., 2020",NA,363933206,https://www.hindawi.com/journals/mpe/2020/4792679/,"Du et al., 2020",NA,2020,No,NA,NA,No,Yes,No,NA,10 citations,No,NA,Classical view,economic; social; environmental,Environmental management system; Environmental protection; Cost; Pollution; Use of packaging materials; Food safety,6,Use of packaging materials; Food safety,Environmental management system; Environmental protection,Cost; Pollution;,NA,NA,NA,sustainability framework (triple bottom line principle),sustainability framework (triple bottom line principle),"Sustainable supply chain management in the field of fresh agricultural products is facing economic, social, and ecological challenges. )is sustainability is influenced by many factors, including economic, social, and environmental aspects, namely, the triple bottom line (TBL) principle (Figure 1).",2; 3; 7; 13,Yes,Yes,both,researcher/developer only,NA,food system,food system,context-specific,China,both,yes,Business/firms; researchers; policy makers,ST and R,change over time,no,no,no,researcher selected,Quantitative (measured),expert opinion,high,no restriction,no,no,yes,yes,yes,no,no,yes,bar graph; sunburst,statistics; multidimension index,16,medium,months,no,NA,yes,yes,yes,"With the help of expert scores and an intuitionistic fuzzy number correspondence table (Table 2), an intuitionistic fuzzy judgment matrix is established. Then, after a consistency test, the index weights at all levels are finally obtained to assist decision-making.",Takes a look at the food system (suppliers component),multiple,
160,Yes,NA,NA,Levi,"Marandure et al., 2020",NA,363933211,https://www.researchgate.net/publication/343882429_Farmer_challenge-derived_indicators_for_assessing_sustainability_of_low-input_ruminant_production_systems_in_sub-Saharan_Africa,"Marandure et al., 2020",Stellenbosch University; University of Pretoria; Coventry University,2020,No,NA,NA,No,Yes,No,NA,10 citations,No,NA,Classical view,ecological; economic; social,NA,NA,NA,NA,NA,NA,NA,NA,uses own framework,uses own framework,NA,4; 5; 6; 8; 15,No,Yes,both,consultation/feedback incorporated,farmers; multistakeholder (unspecified),farm/household; landscape,farm/household; landscape; region,context-specific,sub-Saharan Africa,low-input ruminant,no,Farmers; policy makers,ST and PA,between cases,yes,no,yes,participatory; researcher selected,Quantitative (measured),Database,medium,no restriction,no,no,yes,yes,yes,no,no,no,NA,statistics; scoring system,47,high,years,No,NA,yes,yes,yes,"The impact of challenges provided objective weights to the corresponding indicators. Indicators derived from high, moderate and low impact challenges were allocated weights of three, two and one, respectively. The weight allocation was adapted from a procedure for determining sustainability designed by Atanga et al. (2013).",Has interesting figure on the review process. Included in the sheet.,once,
161,Yes,NA,NA,Levi,"Rios et al., 2020",IISLE,363933212,https://www.mdpi.com/2071-1050/12/22/9595,"Rios et al., 2020",Universidad Nacional de Colombia,2020,No,NA,NA,No,Yes,No,NA,4 citations,No,NA,Classic view; technical,financial; technical; social; environmental,NA,NA,NA,NA,NA,NA,NA,NA,uses own framework,uses own framework,"From the standpoint of sustainability, specialized dairy production systems (SDPSs) need to guarantee adequate social–economic conditions for family groups, to persist over time, to obtain good-quality products, and to operate in an environmentally friendly manner in order to maintain or even improve the base of existing natural resources within the system",1; 3; 6; 13; 16,No,Yes,both,consultation/feedback incorporated,researchers,farm/household,farm/household,context-specific,Colombia,dairy farms,no,Farmers; agricultural advisors; business/firms; policy makers; development actors,ST; R and PA,between cases,maybe,no,yes,Expert consultation; literature,Quantitative (measured); Quantitative (enumerator/farmer estimated); Qualitative (enumerator/farmer selected),household/farm surveys; field measurements,low,no restriction,no,no,yes,yes,yes,no,no,No,NA,statistics; multidimension index,31,high,years,no,NA,yes,yes,yes,"AHP breaks down the analysis into criteria and sub-criteria, which are calculated with a weighted average of the scores assigned to each analyzed alternative. In order to obtain the weights for each criterion and sub-criterion based on allocating weights to each of the criteria, Saaty proposes a pairwise comparison in a structured matrix system to obtain an overall rank of weights, in which consistency (defining the relative importance of one criteria with respect to another, and comparing the relative importance to that of other criteria) can be measured",NA,once,
